question,answer,source,topic,is_generated
Как уведомляют студентов о предоставлении места в общежитии?,После положительного решения комиссии уведомление о предоставлении места направляется студенту в личный кабинет студента и на электронную почту. После получения уведомления студент должен в течение пяти рабочих дней обратиться в Управление по воспитательной и социальной работе или сообщить о невозможности явиться по уважительной причине.,https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
"Что произойдет, если студент не явится в общежитие после выхода приказа о заселении?","Если студент не появляется для оформления проживания в течение 30 дней после выхода приказа о заселении без уважительной причины, предоставленное место аннулируется, студент исключается из приказа и остаётся в очереди на место.",https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
Кому не предоставляются места в общежитии?,"Комиссия не рассматривает заявления от лиц, зарегистрированных в Москве и в Московской области ближе автодороги А?108 (Московское большое кольцо), за исключением поступающих на программы Передовой инженерной школы.",https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
Сколько раз можно отказаться от предоставленного места в общежитии?,"Если студент дважды отказался от предложенного места или не явился для оформления проживания, его заявление переводится в архив, и он исключается из очереди на общежитие.",https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
Кто заключает договор на оказание платных образовательных услуг?,"Договор на оказание платных образовательных услуг заключается между университетом и лицом, зачисляемым на обучение. В договоре также может участвовать физическое лицо, которое оплачивает обучение (например, родители), либо юридическое лицо, направляющее и оплачивающее обучение.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
Что означает договорная основа обучения?,"Договорная основа означает, что обучение осуществляется на основании письменного договора, предусматривающего оплату стоимости обучения физическими или юридическими лицами. Такой договор подтверждает добровольное оказание платных образовательных услуг.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
Какие программы реализуются на платной договорной основе в МИРЭА?,"На договорной основе могут реализовываться основные профессиональные образовательные программы высшего образования (бакалавриат, специалитет, магистратура, аспирантура), программы среднего профессионального образования и дополнительные образовательные программы, включая дополнительное образование детей и взрослых.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
Обязательны ли платные образовательные услуги для студентов?,"Платные образовательные услуги оказываются только на добровольных условиях: факт их оказания подтверждается договором и заявлением обучающегося, а также оплатой стоимости услуг, указанной в договоре.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
Кто определяет стоимость платного обучения в МИРЭА?,"Университет самостоятельно устанавливает стоимость, формы и условия подготовки обучающихся, разрабатывает типовые формы документов и заключает договоры на оказание платных образовательных услуг.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
Что такое целевое обучение?,"Целевое обучение — это форма обучения, при которой абитуриент после зачисления заключает договор со своим будущим работодателем. По договору студент обучается бесплатно, получает стипендию и может пользоваться дополнительными мерами поддержки, такими как компенсация проезда или предоставление жилья.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Какие преимущества даёт целевое обучение?,"Студент получает специальность, востребованную работодателем, заранее знает место и условия будущей работы, представляет уровень будущей зарплаты и уверен в трудоустройстве после выпуска.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Как поступить на место в рамках целевой квоты?,"Чтобы поступить по целевой квоте, нужно найти подходящую вакансию на платформе «Работа в России» или при подаче заявления через Госуслуги, подать заявление на целевую квоту в вуз (лично, по почте или через электронную систему). По целевой квоте можно выбрать только одну образовательную программу.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Что нужно делать после подачи документов на целевую квоту?,"После подачи документов нужно следить за результатами отбора через личный кабинет на портале Госуслуги или на официальном сайте вуза, а после выхода приказа о зачислении заключить договор с заказчиком целевого обучения до начала учебного года.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Каковы сроки подачи заявлений на целевое обучение?,"Для бакалавриата, специалитета и базового высшего образования документы на целевое обучение принимаются с 20 июня по 25 июля; для магистратуры — с 20 июня по 20 августа; для аспирантуры — с 20 июня до даты, установленной вузом.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Какими документами регулируется пребывание иностранных студентов в МИРЭА?,"Пребывание иностранных граждан, обучающихся в университете, регулируют федеральные законы Российской Федерации и правила миграционного учёта. Университет публикует локальный акт «Правила пребывания и порядок постановки на миграционный учет иностранных граждан, обучающихся в РТУ МИРЭА».",https://www.mirea.ru/upload/07c/r7xfrm863vwshmvvqeisqze0qqj06kqv/Pravila_prebyvaniya_i_migratsionnogo_uchyeta_2023.pdf,Иностранные абитуриенты,TRUE
На кого распространяются правила пребывания и миграционного учёта?,"Правила распространяются на иностранных студентов, аспирантов, слушателей и других обучающихся университета, не имеющих гражданства Российской Федерации, а также лиц без гражданства и прикреплённых к университету для научных стажировок.",https://www.mirea.ru/upload/07c/r7xfrm863vwshmvvqeisqze0qqj06kqv/Pravila_prebyvaniya_i_migratsionnogo_uchyeta_2023.pdf,Иностранные абитуриенты,TRUE
Как иностранные студенты узнают правила пребывания в России?,При оформлении личного дела каждый иностранный студент проходит инструктаж по правилам пребывания и порядку миграционного учёта. Лист ознакомления с правилами подшивается в личное дело иностранного гражданина.,https://www.mirea.ru/upload/07c/r7xfrm863vwshmvvqeisqze0qqj06kqv/Pravila_prebyvaniya_i_migratsionnogo_uchyeta_2023.pdf,Иностранные абитуриенты,TRUE
Когда иностранный студент должен предоставить документы для миграционного учёта?,"Иностранный студент, прибывший в Россию по приглашению университета, обязан в течение одного рабочего дня после прибытия (или первого рабочего дня после выходного) представить в Управление международных связей заграничный паспорт, визу и миграционную карту.",https://www.mirea.ru/upload/07c/r7xfrm863vwshmvvqeisqze0qqj06kqv/Pravila_prebyvaniya_i_migratsionnogo_uchyeta_2023.pdf,Иностранные абитуриенты,TRUE
Каковы основные обязанности иностранного студента по миграционному учёту?,"Иностранный студент должен в срок предоставить документы для постановки на миграционный учёт, соблюдать правила пребывания в России и своевременно информировать университет о продлении визы и изменении документов. Несоблюдение требований может привести к ответственности согласно законодательству.",https://www.mirea.ru/upload/07c/r7xfrm863vwshmvvqeisqze0qqj06kqv/Pravila_prebyvaniya_i_migratsionnogo_uchyeta_2023.pdf,Иностранные абитуриенты,TRUE
Какой уровень образования должен быть у абитуриента для поступления на программы бакалавриата и специалитета?,"Для поступления на программы бакалавриата или специалитета абитуриент должен иметь среднее общее, среднее профессиональное или высшее образование, подтверждённое соответствующим документом об образовании.",https://www.mirea.ru/upload/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Какое образование необходимо для поступления в магистратуру МИРЭА?,"Для поступления на программы магистратуры абитуриент должен иметь высшее образование, подтверждённое дипломом бакалавра, специалиста или магистра.",https://www.mirea.ru/upload/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Сколько вузов можно указать в заявлениях на приём?,"При поступлении на программы бакалавриата и специалитета абитуриент подтверждает, что подал заявления не более чем в пять организаций высшего образования и не более чем по пяти направлениям подготовки в РТУ МИРЭА.",https://www.mirea.ru/upload/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Что указывается в заявлении о приёме помимо выбранных направлений?,"В заявлении о приёме абитуриент указывает конкурсные группы, по которым хочет быть зачисленным, приоритеты зачисления по различным условиям поступления и подтверждает достоверность сведений и ознакомление с правилами.",https://www.mirea.ru/upload/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Как указать необходимость специальных условий при сдаче вступительных испытаний?,"В заявлении о приёме абитуриент должен отметить необходимость создания специальных условий при проведении внутренних вступительных испытаний в связи с инвалидностью или ограниченными возможностями здоровья, чтобы университет смог организовать соответствующие условия.",https://www.mirea.ru/upload/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Льготы и квоты,TRUE
Можно ли подать заявление по целевой квоте на несколько программ?,При поступлении на места в пределах целевой квоты абитуриент может выбрать только одну образовательную программу; подача заявлений на несколько программ по целевой квоте не допускается.,https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Где найти вакансии для целевого обучения?,Подходящую вакансию для целевого обучения можно найти на сайте платформы «Работа в России» или при подаче заявления на поступление через портал Госуслуги.,https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Когда нужно заключить целевой договор с заказчиком?,"Заключить целевой договор с заказчиком обучения необходимо после опубликования приказа о зачислении и до начала учебного года, чтобы закрепить обязательства сторон.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Какие формы проведения вступительных испытаний предусмотрены для бакалавриата и специалитета?,"Вступительные испытания, проводимые университетом самостоятельно, могут проходить очно или с использованием дистанционных технологий. Информация о форме проведения публикуется в расписании на официальном сайте приёмной комиссии.",https://stavropol.mirea.ru/images/doki/Perechen_vstupitelnykh_ispytaniy_2025_2026.pdf,Поступление,TRUE
Могут ли абитуриенты из Беларуси использовать результаты централизованного тестирования при поступлении?,"Граждане Республики Беларусь вправе использовать результаты централизованного тестирования или централизованного экзамена вместо ЕГЭ. Результаты ЦТ(Э) признаются вузом, если предоставлены не позднее окончания приёма документов, и баллы засчитываются так же, как баллы ЕГЭ.",https://stavropol.mirea.ru/images/doki/Perechen_vstupitelnykh_ispytaniy_2025_2026.pdf,Иностранные абитуриенты,TRUE
Где узнать расписание вступительных испытаний МИРЭА?,Расписание вступительных испытаний публикуется на официальном сайте приёмной комиссии https://priem.mirea.ru. В расписании указывается способ проведения (очная форма или дистанционная).,https://stavropol.mirea.ru/images/doki/Perechen_vstupitelnykh_ispytaniy_2025_2026.pdf,Поступление,TRUE
"На каком языке проводятся вступительные испытания, проводимые университетом самостоятельно?","Вступительные испытания, проводимые университетом самостоятельно, проходят на русском языке, за исключением испытания по иностранному языку, которое проводится на английском.",https://stavropol.mirea.ru/images/doki/Perechen_vstupitelnykh_ispytaniy_2025_2026.pdf,Поступление,TRUE
Почему выпускнику выгодно заключать целевой договор?,"Целевой договор обеспечивает понимание, где и кем студент будет работать после выпуска, предоставляет гарантии трудоустройства и позволяет заранее узнать размер будущей заработной платы.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Какой первый шаг для поступления на целевое обучение?,"Первый шаг — найти подходящую вакансию на портале «Работа в России» или при подаче заявления на поступление в вуз через Госуслуги, чтобы выбрать работодателя, готового заключить целевой договор.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Что нужно сделать после выбора вакансии для целевого обучения?,"После выбора вакансии нужно подать заявление на целевое обучение через Госуслуги или непосредственно в университет (лично, по почте или через информационную систему), указав выбранную программу и заказчика.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Что нужно делать после подачи заявления на целевую квоту?,"После подачи заявления следует отслеживать результаты отбора через личный кабинет на Госуслугах или на официальном сайте вуза, чтобы узнать о решении комиссии.",https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Каков завершающий этап поступления по целевому обучению?,Финальный шаг — заключить целевой договор с заказчиком целевого обучения после опубликования приказа о зачислении и сделать это до начала учебного года.,https://www.mirea.ru/news/minobrnauki-rossii-razyasnil-podrobnosti-postupleniya-na-tselevoe-obuchenie/,Льготы и квоты,TRUE
Может ли юридическое лицо оплатить обучение студента в МИРЭА?,"Да. Договор на оказание платных образовательных услуг может быть заключён между университетом и юридическим лицом, которое оплачивает обучение лица, направляемого на учёбу.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
Как используются доходы от платных образовательных услуг?,"Доходы от оказания платных образовательных услуг расходуются университетом в соответствии с уставными целями, что позволяет направлять средства на развитие образовательной деятельности.",https://www.mirea.ru/upload/iblock/60b/hptc2muf8t6844s9ao8mcfx7znt0htju/PRAVILA_okazaniya_platnykh_uslug_22_23_1_.pdf,Оплата и бюджет/платка,TRUE
"Какие шаги нужно выполнить для поступления по целевому обучению на бакалавриат, специалитет, магистратуру и аспирантуру?","Для участия в целевом обучении необходимо подать заявление на поступление через портал Госуслуг, отметить что вы рассматриваете целевой прием, изучить предложения заказчиков и выбрать подходящие, указать конкурс по целевой квоте и подать документы. Заявление и документы принимаются с 20 июня до 25 июля для бакалавриата и специалитета, до 20 августа для магистратуры и с 20 июня для аспирантуры. После подачи нужно следить за конкурсным списком, вовремя дать согласие на зачисление (до 1 августа для бакалавриата/специалитета и до 24 августа для магистратуры) и заключить договор с заказчиком до начала учебного года.",,Льготы и квоты,TRUE
Когда принимают заявления на целевое обучение по программам бакалавриата и специалитета?,"Заявления на участие в целевом обучении для бакалавриата, специалитета и базового высшего образования принимают с 20 июня по 25 июля. Вуз может установить более ранний срок завершения приема, который публикуется на его официальном сайте.",,Льготы и квоты,TRUE
До какого срока можно подать согласие на зачисление по целевой квоте на бакалавриат и специалитет?,"Для программ бакалавриата, специалитета и базового высшего образования согласие на зачисление по целевой квоте нужно подать не позднее 12:00 по московскому времени 1 августа.",,Льготы и квоты,TRUE
Как выбрать конкурс по целевой квоте при подаче заявления?,"В заявлении на поступление можно выбрать только один конкурс по целевой квоте, причём он должен совпадать с одним из предложений выбранных заказчиков. Конкурс указывается в разделе о целевом приеме при заполнении заявления.",,Льготы и квоты,TRUE
Можно ли подать заявку на целевое обучение в приемную комиссию вуза?,"Да. Если вы подаете заявление о приеме на обучение в бумажном виде через приемную комиссию вуза, к нему можно приложить отдельную заявку на целевое обучение. В этом случае предложения заказчиков необходимо самостоятельно изучить на платформе «Работа в России».",,Льготы и квоты,TRUE
Как подать документы на целевое обучение для программ ординатуры?,"Поступающим в ординатуру необходимо изучить предложения о целевом обучении на платформе «Работа в России», затем подать в приемную комиссию вуза заявку на целевое обучение и заявление о приеме на обучение. Заявка и заявление должны быть поданы на один и тот же конкурс и в сроки, установленные вузом.",,Льготы и квоты,TRUE
Что следует сделать после прохождения конкурсного отбора на целевое обучение?,"Если вы прошли конкурсный отбор, необходимо представить оригинал документа об образовании в приемную комиссию, дождаться приказа о зачислении и затем заключить договор о целевом обучении с заказчиком до начала учебного года.",,Льготы и квоты,TRUE
Где можно получить консультацию по вопросам целевого обучения?,Для консультаций по вопросам целевого приема можно обратиться на горячую линию Единого контакт?центра «Прием в вуз» по телефону 8?800?301?44?55 или в Министерство науки и высшего образования России по телефонам 8?800?222?55?71 и 8?800?100?20?17.,,Льготы и квоты,TRUE
Где находится приемная комиссия МИРЭА?,"Приемная комиссия МИРЭА находится в Москве по адресу: проспект Вернадского, 86, корпус 2, рядом со станцией метро «Юго?Западная».",,Поступление,TRUE
Как позвонить в приемную комиссию МИРЭА?,Для получения справок по вопросам приема можно позвонить по телефонам +7 499 322?20?30 или +7 499 719?18?17.,,Поступление,TRUE
В какое время работает приемная комиссия МИРЭА?,Приемная комиссия работает с понедельника по пятницу с 10:00 до 17:00 и по субботам с 10:00 до 15:00.,,Поступление,TRUE
Какой адрес электронной почты у приемной комиссии МИРЭА?,"Электронная почта приемной комиссии – pk@mirea.ru, вы можете задать вопросы о поступлении через этот адрес.",,Поступление,TRUE
Что такое Детский технопарк «Альтаир» при МИРЭА?,"Детский технопарк «Альтаир» – это уникальный проект Российского технологического университета МИРЭА, созданный при поддержке Правительства Москвы. На его площадке школьники участвуют в программах профориентации, знакомятся с высокотехнологичным оборудованием и осваивают программы дополнительного образования, разработанные сотрудниками университета вместе с индустриальными партнёрами.",,Другое,TRUE
Каковы цели детского технопарка «Альтаир»?,"Основные цели технопарка – ранняя профориентация школьников в инженерно?технических специальностях, предоставление дополнительных возможностей обучения мотивированным абитуриентам и создание условий для знакомства школьников с потенциальными работодателями и презентации своих проектов.",,Другое,TRUE
Какие преимущества предлагает детский технопарк «Альтаир» РТУ МИРЭА?,"Среди преимуществ технопарка – уникальные направления и программы, разработанные совместно с индустриальными партнёрами, бесплатное участие во всех программах для всех желающих (особенно для учащихся 8–11 классов) и модель обучения, при которой школьник решает реальные задачи и демонстрирует результаты потенциальному работодателю.",,Другое,TRUE
Где расположен детский технопарк «Альтаир» и какая у него инфраструктура?,"Технопарк расположен на территории МИРЭА в отдельном здании площадью более 3,5 тысяч квадратных метров. Лаборатории оснащены современным и дорогостоящим оборудованием, часть которого разработана специально для технопарка или представлена в России в единичных экземплярах. Всё оборудование безопасно и предназначено для обучения школьников.",,Другое,TRUE
Какие индустриальные партнёры участвуют в работе детского технопарка «Альтаир»?,"Технопарк сотрудничает с крупными компаниями, среди которых Samsung, Яндекс, VK, Ростелеком?Солар, Росэлектроника, National Instruments, Аскон, Эремекс, Generium, КРОК, «Группа Астра», Ростех, фирма «1С», Wildberries & Russ и другие.",,Другое,TRUE
Какие виды занятий доступны в детском технопарке «Альтаир»?,"Учащимся предлагаются научно?популярные лекции и мастер?классы от индустриальных партнёров, экскурсии на предприятия, а также программы, разработанные совместно с компаниями. Эти мероприятия позволяют получить практический опыт и познакомиться с будущими профессиями.",,Другое,TRUE
Чем отличаются долгосрочные образовательные программы в технопарке «Альтаир»?,"Долгосрочные программы (от 36 академических часов) рассчитаны на мотивированных школьников. Они позволяют освоить программы повышенного уровня сложности, получить собственный проект или исследование, сдать квалификационный экзамен с получением сертификата от партнёров и могут дать преимущества при отборе на программы целевой подготовки.",,Другое,TRUE
Что дают краткосрочные программы технопарка «Альтаир»?,"Краткосрочные программы включают лекции, мастер?классы и экскурсии. Они помогают познакомиться с технопарком, получить новые знания в течение всего года и выявить интересы школьников без предварительного отбора.",,Другое,TRUE
Каких результатов достигают учащиеся технопарка «Альтаир»?,"Учащиеся демонстрируют высокие результаты: за первый год более 500 выпускников вышли в финалы всероссийских и городских проектных конференций и конкурсов, около 150 из них заняли призовые места, а некоторые вошли в сборную России и представляли проекты на международных соревнованиях.",,Другое,TRUE
Где находится общежитие №1 МИРЭА и сколько там мест?,"Общежитие №1 расположено по адресу: проспект Вернадского, 86, корпус 1. Это 14?этажное панельное здание площадью 8359,6 м?, рассчитанное на 1 398 мест.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Какой тип комнат в общежитии №1 и какие удобства предоставлены?,"Общежитие №1 имеет блочную планировку с отдельным санузлом и душевой в каждом блоке, кухни расположены на этаже. В комнатах установлены мебель и необходимое постельное бельё, действует система видеонаблюдения и пожарной сигнализации.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Какие дополнительные помещения и услуги есть в общежитии №1?,"В общежитии №1 для проживающих предусмотрены комнаты для самостоятельных занятий, велосипедная парковка, библиотека, зал для танцев, доступ в интернет, прачечная и столы для тенниса.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Где находится общежитие №2 МИРЭА и какая его вместимость?,"Общежитие №2 расположено на Мичуринском проспекте, 12, корпус 2. Пятиэтажное смешанного типа здание площадью 2374,3 м? рассчитано на 280 мест.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Как организованы бытовые условия в общежитии №2?,"В общежитии №2 комнаты расположены как квартиры с собственной кухней, санузлом и душем. В здании имеется видеонаблюдение и пожарная сигнализация, в комнатах установлена мебель и постельные принадлежности. Дополнительно предоставлены кладовая, прачечная, гладильная комната и доступ в интернет.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Где находится общежитие №3 МИРЭА и сколько в нём мест?,"Общежитие №3 находится по адресу: улица Студенческая, 33, корпус 3. Это шестиэтажное здание площадью 2 642 м?, рассчитанное на 333 места.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Каковы особенности проживания в общежитии №3?,"Общежитие №3 имеет коридорный тип: кухни и санузлы расположены на этажах, а душевые – на первом этаже. Комнаты оборудованы мебелью и постельным бельём, действует система видеонаблюдения и пожарная сигнализация. Для студентов есть зал для самостоятельных занятий, интернет, прачечная и теннисные столы, а также доступ в спортзал общежития №4.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
Где находится общежитие №4 и какая его вместимость?,"Общежитие №4 расположено на улице Студенческой, 33, корпус 4. Шестиэтажное здание площадью 2524,3 м? рассчитано на 310 мест.",https://www.mirea.ru/about/hostel/,Общежитие,TRUE
